formulation,omega,n_seeds,log10_rho_mean,log10_rho_std,log10_rho_median,abs_log10_rho_mean,abs_log10_rho_std,g1_mean,g2_mean
unscaled,0.01,10,2.4415430633858572,0.4543579446540753,2.440280873667372,2.4415430633858572,0.4543579446540753,115579.1216796875,2.7287108063697816
unscaled,0.1,10,3.4415430633858577,0.45435794465407536,3.440280873667372,3.4415430633858577,0.45435794465407536,115579.1216796875,2.7287108063697816
unscaled,1.0,10,4.441543063385858,0.4543579446540753,4.440280873667372,4.441543063385858,0.4543579446540753,115579.1216796875,2.7287108063697816
unscaled,10.0,10,5.441543063385858,0.4543579446540753,5.440280873667372,5.441543063385858,0.4543579446540753,115579.1216796875,2.7287108063697816
unscaled,100.0,10,6.441543063385858,0.4543579446540753,6.440280873667372,6.441543063385858,0.4543579446540753,115579.1216796875,2.7287108063697816
scaled_raw,0.01,10,-2.795213250095662,0.27203188845563614,-2.760834809181595,2.795213250095662,0.27203188845563614,0.0024516069155652077,0.012591526564210653
scaled_raw,0.1,10,-1.7952132500956623,0.27203188845563614,-1.760834809181595,1.7952132500956623,0.27203188845563614,0.0024516069155652077,0.012591526564210653
scaled_raw,1.0,10,-0.7952132500956621,0.2720318884556361,-0.7608348091815951,0.7952132500956621,0.2720318884556361,0.0024516069155652077,0.012591526564210653
scaled_raw,10.0,10,0.20478674990433782,0.27203188845563614,0.23916519081840493,0.26530979137715327,0.21342370035338837,0.0024516069155652077,0.012591526564210653
scaled_raw,100.0,10,1.2047867499043379,0.2720318884556362,1.239165190818405,1.2047867499043379,0.2720318884556362,0.0024516069155652077,0.012591526564210653
